supplier_id,supplier_name,supplier_archetype,region,category,unit_cost,max_capacity,min_order_qty,lead_time_days,risk_score,esg_score,quality_score,reliability_score,carbon_per_unit,incumbent_flag,preferred_supplier_flag,diversity_flag,compliance_flag,geo_political_risk,financial_health_score,innovation_score,max_share_cap
S097,Silver Partners 097,Low Cost / High Risk,UK,MRO,7.92,53308,2063,28,75,46,65,75,7.26,0,1,0,1,21,74,62,0.37
S098,Cedar Industrial 098,Regional Fast Delivery,UK,Packaging,13.45,12067,904,3,39,68,77,88,2.17,0,0,1,1,18,75,76,0.38
S099,Polar Procurement 099,Balanced,UK,Direct Materials,11.57,37429,3116,20,46,75,80,76,5.03,0,0,0,1,16,81,84,0.28
S100,Orion Holdings 100,Premium / Sustainable,Asia Pacific,Packaging,14.59,22159,724,17,35,90,83,97,2.73,0,0,0,1,39,94,91,0.23
S101,Summit Systems 101,Regional Fast Delivery,UK,Direct Materials,14.03,32003,2671,4,29,68,89,88,3.89,0,1,0,1,22,88,78,0.49
S102,Harbor Holdings 102,High Capacity Commodity,UK,Packaging,11.86,168357,18218,21,39,62,80,68,6.29,1,0,0,0,12,77,81,0.24
S103,Vertex Holdings 103,Premium / Sustainable,North America,Direct Materials,15.36,15466,1048,6,15,79,92,91,1.98,1,0,0,1,21,87,87,0.47
S104,Bright Solutions 104,Balanced,Ireland,MRO,10.03,52501,4882,15,48,68,70,81,4.72,0,1,0,1,18,69,66,0.38
S105,Blue Works 105,High Capacity Commodity,Eastern Europe,MRO,9.58,163178,9560,26,37,61,64,76,5.44,0,0,0,1,30,75,63,0.38
S106,Harbor Manufacturing 106,Regional Fast Delivery,Asia Pacific,Direct Materials,11.57,11688,500,5,21,63,86,88,3.18,0,0,0,1,34,85,68,0.38
S107,Orion Solutions 107,Low Cost / High Risk,Eastern Europe,Packaging,9.69,80788,7334,19,63,46,64,72,5.43,0,0,0,1,36,65,56,0.23
S108,River Partners 108,Low Cost / High Risk,Asia Pacific,Direct Materials,8.51,55759,5427,26,68,59,71,70,6.03,1,0,0,1,19,62,62,0.2
S109,Apex Global 109,Balanced,UK,Direct Materials,11.94,65697,2780,19,45,61,77,84,3.68,1,0,0,1,22,82,61,0.38
S110,Arrow Partners 110,Balanced,UK,Packaging,12.59,32129,2685,14,67,75,80,86,4.37,0,1,0,0,20,78,73,0.38
S111,Arrow Industrial 111,Regional Fast Delivery,Asia Pacific,Direct Materials,14.35,12326,1063,9,41,72,89,91,3.94,1,1,1,1,40,92,80,0.35
S112,Nova Holdings 112,Balanced,UK,MRO,10.38,25283,2547,15,43,57,74,84,4.13,0,0,0,1,16,78,66,0.33
S113,Vertex Industrial 113,Premium / Sustainable,UK,Direct Materials,13.17,27367,1566,12,40,82,90,95,1.31,1,0,0,0,18,90,96,0.34
S114,Vertex Partners 114,Premium / Sustainable,Ireland,Packaging,13.28,47117,1642,12,28,87,87,90,1.78,0,0,0,1,12,81,79,0.28
S115,Delta Materials 115,Balanced,Eastern Europe,MRO,10.87,69704,3279,17,35,63,79,80,4.95,0,0,1,1,45,86,77,0.31
S116,Silver Systems 116,Balanced,UK,MRO,10.84,46684,1755,19,60,70,83,81,5.46,0,0,0,0,10,78,84,0.53
S117,Summit Logistics 117,Premium / Sustainable,Ireland,Direct Materials,13.5,20840,1091,10,23,78,95,87,1.29,0,0,1,1,9,94,88,0.4
S118,Bright Global 118,Premium / Sustainable,Ireland,Direct Materials,17.03,28601,2901,14,22,84,92,92,2.96,0,0,0,1,14,96,96,0.19
S119,Atlas Solutions 119,High Capacity Commodity,Western Europe,MRO,9.81,124580,6674,17,33,54,67,81,6.39,0,0,1,1,19,69,50,0.2
S120,Bright Group 120,Regional Fast Delivery,Asia Pacific,Packaging,13.47,19468,2242,4,22,72,91,94,3.31,1,1,1,1,35,86,81,0.4
S121,Green Logistics 121,Regional Fast Delivery,Western Europe,Packaging,15.27,14125,680,8,24,64,76,83,3.33,0,0,0,1,17,72,71,0.18
S122,Vertex Works 122,High Capacity Commodity,Eastern Europe,Direct Materials,9.58,88792,9638,17,30,68,67,79,4.97,0,1,0,1,34,72,65,0.39
S123,Atlas Procurement 123,Low Cost / High Risk,Ireland,Packaging,9.92,54839,2389,31,67,37,63,70,7.4,0,0,0,1,17,62,43,0.53
S124,Vertex Procurement 124,Balanced,Asia Pacific,Direct Materials,10.44,41169,2421,22,46,75,78,85,3.64,0,0,0,1,40,89,79,0.22
S125,Apex Global 125,High Capacity Commodity,North America,Direct Materials,12.27,131895,6270,14,40,59,68,76,4.65,0,0,1,1,17,79,61,0.51
S126,Luma Partners 126,Premium / Sustainable,UK,Packaging,17.72,38024,2440,18,16,83,92,94,1.71,0,0,0,1,25,98,82,0.2
S127,Silver Manufacturing 127,Balanced,North America,MRO,13.08,21447,1512,12,56,72,72,79,5.3,0,0,0,1,25,81,67,0.54
S128,Cobalt Solutions 128,High Capacity Commodity,Eastern Europe,Direct Materials,12.01,98453,4004,25,33,46,61,85,5.84,0,0,0,1,24,65,50,0.27
S129,Orion Logistics 129,Premium / Sustainable,Western Europe,Packaging,17.68,29442,2241,10,18,87,91,92,1.02,0,0,0,1,18,93,87,0.42
S130,Blue Trade 130,Premium / Sustainable,Ireland,MRO,17.21,46188,2857,16,30,89,91,93,2.59,0,0,0,1,6,98,91,0.37
S131,Delta Manufacturing 131,High Capacity Commodity,Western Europe,Direct Materials,10.91,151501,9400,24,50,70,81,86,5.46,0,0,0,1,17,90,66,0.5
S132,Sterling Works 132,High Capacity Commodity,Ireland,Direct Materials,11.0,165425,10877,18,40,46,79,71,4.1,0,0,0,1,10,68,52,0.35
S133,Cobalt Procurement 133,Balanced,Western Europe,Direct Materials,11.71,58178,5100,10,47,68,75,89,3.96,1,1,0,1,19,77,73,0.37
S134,Prime Global 134,Low Cost / High Risk,Asia Pacific,Packaging,10.35,57356,6348,27,76,46,69,63,7.49,0,0,0,1,24,58,65,0.37
S135,Vertex Partners 135,Low Cost / High Risk,Eastern Europe,MRO,8.27,62084,4186,19,90,52,68,60,6.57,0,0,1,1,41,72,58,0.41
S136,Silver Procurement 136,Low Cost / High Risk,Eastern Europe,MRO,7.85,36841,2565,20,66,40,60,70,5.11,0,0,0,1,20,59,43,0.49
S137,Orion Group 137,Low Cost / High Risk,Asia Pacific,Direct Materials,9.67,36077,3792,22,63,60,62,73,4.8,1,1,0,1,28,70,65,0.53
S138,Silver Industrial 138,Low Cost / High Risk,Eastern Europe,Packaging,8.05,54047,1641,34,66,45,72,78,6.45,0,1,0,1,39,67,52,0.36
S139,Blue Systems 139,Regional Fast Delivery,UK,Direct Materials,12.55,17856,1608,7,37,77,82,88,3.95,0,0,1,1,25,78,69,0.42
S140,Polar Supply 140,Regional Fast Delivery,North America,Direct Materials,11.8,22291,1444,4,44,63,76,90,2.69,0,0,0,1,10,87,72,0.19
S141,Cobalt Systems 141,Low Cost / High Risk,Asia Pacific,MRO,9.41,83407,6672,28,80,46,62,77,6.95,0,0,0,1,18,71,55,0.49
S142,Luma Procurement 142,High Capacity Commodity,Eastern Europe,Direct Materials,9.64,88057,8642,14,55,64,62,80,4.06,0,0,0,1,40,77,67,0.42
S143,Atlas Works 143,Regional Fast Delivery,Ireland,MRO,11.69,33383,3614,8,27,72,89,89,3.07,0,1,0,1,17,93,80,0.54
S144,Cedar Holdings 144,Balanced,UK,MRO,12.45,57421,3131,14,53,72,79,87,4.58,0,0,0,1,20,90,83,0.39
S145,Arrow Systems 145,High Capacity Commodity,Eastern Europe,Packaging,11.92,127500,11355,12,35,63,64,83,3.98,0,0,0,1,34,72,73,0.39
S146,Green Procurement 146,Premium / Sustainable,North America,Direct Materials,18.1,26727,2752,18,34,84,90,85,1.55,0,0,0,1,16,93,82,0.54
S147,Polar Systems 147,Balanced,North America,Direct Materials,11.32,41425,4100,15,33,67,76,79,4.77,1,1,0,1,15,71,77,0.24
S148,Cobalt Supply 148,Regional Fast Delivery,Ireland,Direct Materials,15.03,26583,1451,5,27,81,83,87,3.03,0,0,0,1,12,89,80,0.38
S149,Green Solutions 149,High Capacity Commodity,Asia Pacific,Packaging,11.04,125961,10416,20,40,63,67,70,3.79,0,0,0,1,35,73,75,0.48
S150,Prime Logistics 150,Balanced,Ireland,MRO,11.16,24376,528,11,55,66,77,76,3.65,0,0,0,1,5,70,72,0.52
