approval_id,workflow_run_id,request_id,approval_required,decision,reviewer_name,review_comment,reviewed_at,sla_hours
APR-0031-01,RUN-0031-01,REQ-0031,1,Rejected,A. Shah,Rejected due to policy or portfolio concerns.,2026-01-25 12:02:00,4.0
APR-0032-01,RUN-0032-01,REQ-0032,1,Approved,M. Chen,Approved after review of trade-offs and feasibility warnings.,2026-04-03 14:16:00,18.0
APR-0033-01,RUN-0033-01,REQ-0033,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-03 18:42:00,7.0
APR-0034-01,RUN-0034-01,REQ-0034,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-01-31 01:27:00,13.0
APR-0035-01,RUN-0035-01,REQ-0035,1,Approved,A. Shah,Approved after review of trade-offs and feasibility warnings.,2026-03-11 14:04:00,17.0
APR-0036-01,RUN-0036-01,REQ-0036,1,Rejected,S. Walker,Rejected due to policy or portfolio concerns.,2026-04-04 22:39:00,13.0
APR-0037-01,RUN-0037-01,REQ-0037,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-02-01 11:07:00,10.0
APR-0038-01,RUN-0038-01,REQ-0038,1,Rejected,S. Walker,Rejected due to policy or portfolio concerns.,2026-02-23 19:45:00,2.0
APR-0039-01,RUN-0039-01,REQ-0039,1,Approved,J. Morgan,Approved after review of trade-offs and feasibility warnings.,2026-02-17 08:26:00,14.0
APR-0040-01,RUN-0040-01,REQ-0040,1,Approved,S. Walker,Approved after review of trade-offs and feasibility warnings.,2026-04-02 17:31:00,18.0
APR-0041-01,RUN-0041-01,REQ-0041,1,Pending,M. Chen,Pending sourcing manager review.,2026-03-22 23:56:00,13.0
APR-0042-01,RUN-0042-01,REQ-0042,1,Pending,M. Chen,Pending sourcing manager review.,2026-03-01 04:51:00,12.0
APR-0043-01,RUN-0043-01,REQ-0043,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-02-09 12:34:00,1.0
APR-0044-01,RUN-0044-01,REQ-0044,1,Approved,S. Walker,Approved after review of trade-offs and feasibility warnings.,2026-03-20 20:46:00,16.0
APR-0045-01,RUN-0045-01,REQ-0045,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-01-07 14:00:00,23.0
APR-0046-01,RUN-0046-01,REQ-0046,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-11 23:04:00,3.0
APR-0047-01,RUN-0047-01,REQ-0047,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-01-27 15:09:00,21.0
APR-0048-01,RUN-0048-01,REQ-0048,1,Approved,S. Walker,Approved after review of trade-offs and feasibility warnings.,2026-02-14 07:25:00,4.0
APR-0049-01,RUN-0049-01,REQ-0049,1,Approved,S. Walker,Approved after review of trade-offs and feasibility warnings.,2026-04-07 19:40:00,10.0
APR-0050-01,RUN-0050-01,REQ-0050,1,Approved,J. Morgan,Approved after review of trade-offs and feasibility warnings.,2026-04-09 00:01:00,17.0
APR-0051-01,RUN-0051-01,REQ-0051,1,Rejected,S. Walker,Rejected because validation found likely infeasibility.,2026-03-03 05:34:00,18.0
APR-0052-01,RUN-0052-01,REQ-0052,1,Rejected,A. Shah,Rejected because validation found likely infeasibility.,2026-01-17 21:44:00,22.0
APR-0053-01,RUN-0053-01,REQ-0053,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-01-30 10:51:00,10.0
APR-0054-01,RUN-0054-01,REQ-0054,1,Rejected,A. Shah,Rejected because validation found likely infeasibility.,2026-03-10 09:35:00,17.0
APR-0055-01,RUN-0055-01,REQ-0055,1,Pending,S. Walker,Pending sourcing manager review.,2026-03-31 00:03:00,8.0
APR-0056-01,RUN-0056-01,REQ-0056,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-22 18:51:00,2.0
APR-0057-01,RUN-0057-01,REQ-0057,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-01-13 18:26:00,8.0
APR-0058-01,RUN-0058-01,REQ-0058,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-05 16:10:00,22.0
APR-0059-01,RUN-0059-01,REQ-0059,1,Approved,M. Chen,Approved after review of trade-offs and feasibility warnings.,2026-04-06 00:34:00,10.0
APR-0060-01,RUN-0060-01,REQ-0060,1,Pending,R. Patel,Pending sourcing manager review.,2026-02-15 18:42:00,9.0
APR-0061-01,RUN-0061-01,REQ-0061,1,Approved,J. Morgan,Approved after review of trade-offs and feasibility warnings.,2026-03-06 22:06:00,10.0
APR-0062-01,RUN-0062-01,REQ-0062,1,Rejected,A. Shah,Rejected because validation found likely infeasibility.,2026-02-09 10:15:00,19.0
APR-0063-01,RUN-0063-01,REQ-0063,1,Approved,J. Morgan,Approved after review of trade-offs and feasibility warnings.,2026-01-26 19:43:00,2.0
APR-0064-01,RUN-0064-01,REQ-0064,1,Pending,R. Patel,Pending sourcing manager review.,2026-02-22 21:56:00,22.0
APR-0065-01,RUN-0065-01,REQ-0065,1,Approved,M. Chen,Approved after review of trade-offs and feasibility warnings.,2026-02-14 16:55:00,1.0
APR-0066-01,RUN-0066-01,REQ-0066,1,Pending,S. Walker,Pending sourcing manager review.,2026-03-08 05:00:00,9.0
APR-0067-01,RUN-0067-01,REQ-0067,1,Approved,J. Morgan,Approved after review of trade-offs and feasibility warnings.,2026-04-05 01:39:00,19.0
APR-0068-01,RUN-0068-01,REQ-0068,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-02-02 21:01:00,24.0
APR-0069-01,RUN-0069-01,REQ-0069,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-04-05 03:38:00,23.0
APR-0070-01,RUN-0070-01,REQ-0070,1,Approved,S. Walker,Approved after review of trade-offs and feasibility warnings.,2026-04-07 03:22:00,8.0
APR-0071-01,RUN-0071-01,REQ-0071,1,Approved,R. Patel,Approved after review of trade-offs and feasibility warnings.,2026-02-23 23:07:00,22.0
APR-0072-01,RUN-0072-01,REQ-0072,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-20 07:51:00,4.0
APR-0073-01,RUN-0073-01,REQ-0073,1,Approved,J. Morgan,Approved after review of trade-offs and feasibility warnings.,2026-01-22 19:48:00,2.0
APR-0074-01,RUN-0074-01,REQ-0074,1,Approved,A. Shah,Approved after review of trade-offs and feasibility warnings.,2026-01-12 08:55:00,24.0
APR-0075-01,RUN-0075-01,REQ-0075,1,Approved,R. Patel,Approved after review of trade-offs and feasibility warnings.,2026-03-01 00:43:00,4.0
APR-0076-01,RUN-0076-01,REQ-0076,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-09 15:14:00,7.0
APR-0077-01,RUN-0077-01,REQ-0077,1,Rejected,S. Walker,Rejected due to policy or portfolio concerns.,2026-02-24 08:21:00,5.0
APR-0078-01,RUN-0078-01,REQ-0078,1,Approved,J. Morgan,Approved after review of trade-offs and feasibility warnings.,2026-02-28 04:41:00,1.0
APR-0079-01,RUN-0079-01,REQ-0079,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-12 16:05:00,15.0
APR-0080-01,RUN-0080-01,REQ-0080,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-04-09 01:03:00,9.0
APR-0081-01,RUN-0081-01,REQ-0081,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-02-27 18:16:00,6.0
APR-0082-01,RUN-0082-01,REQ-0082,1,Rejected,A. Shah,Rejected because validation found likely infeasibility.,2026-03-01 15:49:00,11.0
APR-0083-01,RUN-0083-01,REQ-0083,1,Rejected,M. Chen,Rejected because validation found likely infeasibility.,2026-03-12 05:56:00,3.0
APR-0084-01,RUN-0084-01,REQ-0084,1,Approved,J. Morgan,Approved after review of trade-offs and feasibility warnings.,2026-01-07 03:44:00,13.0
APR-0085-01,RUN-0085-01,REQ-0085,1,Rejected,M. Chen,Rejected because validation found likely infeasibility.,2026-03-04 00:51:00,11.0
APR-0086-01,RUN-0086-01,REQ-0086,1,Rejected,M. Chen,Rejected because validation found likely infeasibility.,2026-03-18 10:55:00,13.0
APR-0087-01,RUN-0087-01,REQ-0087,1,Approved,A. Shah,Approved after review of trade-offs and feasibility warnings.,2026-02-12 17:08:00,4.0
APR-0088-01,RUN-0088-01,REQ-0088,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-23 23:50:00,14.0
APR-0089-01,RUN-0089-01,REQ-0089,1,Pending,J. Morgan,Pending sourcing manager review.,2026-01-12 02:47:00,1.0
APR-0090-01,RUN-0090-01,REQ-0090,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-25 11:51:00,18.0
APR-0091-01,RUN-0091-01,REQ-0091,1,Approved,J. Morgan,Approved after review of trade-offs and feasibility warnings.,2026-03-14 20:43:00,9.0
APR-0092-01,RUN-0092-01,REQ-0092,1,Approved,J. Morgan,Approved after review of trade-offs and feasibility warnings.,2026-03-03 23:50:00,20.0
APR-0093-01,RUN-0093-01,REQ-0093,1,Approved,M. Chen,Approved after review of trade-offs and feasibility warnings.,2026-01-26 19:58:00,12.0
APR-0094-01,RUN-0094-01,REQ-0094,1,Rejected,J. Morgan,Rejected because validation found likely infeasibility.,2026-02-16 22:09:00,8.0
APR-0095-01,RUN-0095-01,REQ-0095,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-25 06:54:00,17.0
APR-0096-01,RUN-0096-01,REQ-0096,1,Approved,R. Patel,Approved after review of trade-offs and feasibility warnings.,2026-03-06 13:24:00,20.0
APR-0097-01,RUN-0097-01,REQ-0097,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-01-27 01:15:00,21.0
APR-0098-01,RUN-0098-01,REQ-0098,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-01-29 21:23:00,3.0
APR-0099-01,RUN-0099-01,REQ-0099,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-16 06:37:00,1.0
APR-0100-01,RUN-0100-01,REQ-0100,1,Rejected,S. Walker,Rejected because validation found likely infeasibility.,2026-01-15 15:23:00,12.0
APR-0101-01,RUN-0101-01,REQ-0101,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-27 19:23:00,15.0
APR-0102-01,RUN-0102-01,REQ-0102,1,Rejected,M. Chen,Rejected due to policy or portfolio concerns.,2026-04-08 19:54:00,11.0
APR-0103-01,RUN-0103-01,REQ-0103,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-01-11 08:59:00,3.0
APR-0104-01,RUN-0104-01,REQ-0104,1,Approved,S. Walker,Approved after review of trade-offs and feasibility warnings.,2026-03-24 16:51:00,9.0
APR-0105-01,RUN-0105-01,REQ-0105,1,Approved,S. Walker,Approved after review of trade-offs and feasibility warnings.,2026-02-28 14:42:00,23.0
APR-0106-01,RUN-0106-01,REQ-0106,1,Rejected,R. Patel,Rejected because validation found likely infeasibility.,2026-01-29 16:54:00,4.0
APR-0107-01,RUN-0107-01,REQ-0107,1,Rejected,A. Shah,Rejected due to policy or portfolio concerns.,2026-03-22 18:56:00,24.0
APR-0108-01,RUN-0108-01,REQ-0108,1,Approved,A. Shah,Approved after review of trade-offs and feasibility warnings.,2026-03-06 02:06:00,3.0
APR-0109-01,RUN-0109-01,REQ-0109,1,Rejected,M. Chen,Rejected due to policy or portfolio concerns.,2026-03-24 22:18:00,8.0
APR-0110-01,RUN-0110-01,REQ-0110,1,Approved,M. Chen,Approved after review of trade-offs and feasibility warnings.,2026-01-23 23:12:00,11.0
APR-0111-01,RUN-0111-01,REQ-0111,1,Approved,R. Patel,Approved after review of trade-offs and feasibility warnings.,2026-02-25 03:22:00,21.0
APR-0112-01,RUN-0112-01,REQ-0112,1,Pending,J. Morgan,Pending sourcing manager review.,2026-01-22 18:37:00,19.0
APR-0113-01,RUN-0113-01,REQ-0113,1,Approved,J. Morgan,Approved after review of trade-offs and feasibility warnings.,2026-03-23 14:17:00,8.0
APR-0114-01,RUN-0114-01,REQ-0114,1,Rejected,R. Patel,Rejected because validation found likely infeasibility.,2026-02-01 05:18:00,20.0
APR-0115-01,RUN-0115-01,REQ-0115,1,Approved,S. Walker,Approved after review of trade-offs and feasibility warnings.,2026-02-02 14:31:00,16.0
APR-0116-01,RUN-0116-01,REQ-0116,1,Rejected,A. Shah,Rejected due to policy or portfolio concerns.,2026-03-25 12:11:00,23.0
APR-0117-01,RUN-0117-01,REQ-0117,1,Approved,A. Shah,Approved after review of trade-offs and feasibility warnings.,2026-04-08 15:18:00,12.0
APR-0118-01,RUN-0118-01,REQ-0118,1,Rejected,S. Walker,Rejected because validation found likely infeasibility.,2026-01-08 06:53:00,17.0
APR-0119-01,RUN-0119-01,REQ-0119,1,Rejected,S. Walker,Rejected due to policy or portfolio concerns.,2026-01-19 11:04:00,19.0
APR-0120-01,RUN-0120-01,REQ-0120,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-04-07 00:16:00,10.0
APR-0121-01,RUN-0121-01,REQ-0121,1,Approved,A. Shah,Approved after review of trade-offs and feasibility warnings.,2026-01-20 17:25:00,23.0
APR-0122-01,RUN-0122-01,REQ-0122,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-26 13:34:00,13.0
APR-0123-01,RUN-0123-01,REQ-0123,1,Approved,A. Shah,Approved after review of trade-offs and feasibility warnings.,2026-01-08 05:30:00,13.0
APR-0124-01,RUN-0124-01,REQ-0124,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-07 17:51:00,9.0
APR-0125-01,RUN-0125-01,REQ-0125,1,Pending,J. Morgan,Pending sourcing manager review.,2026-02-05 15:16:00,21.0
APR-0126-01,RUN-0126-01,REQ-0126,1,Approved,J. Morgan,Approved after review of trade-offs and feasibility warnings.,2026-03-12 22:24:00,7.0
APR-0127-01,RUN-0127-01,REQ-0127,1,Approved,M. Chen,Approved after review of trade-offs and feasibility warnings.,2026-03-22 21:49:00,18.0
APR-0128-01,RUN-0128-01,REQ-0128,1,Approved,R. Patel,Approved after review of trade-offs and feasibility warnings.,2026-01-18 16:18:00,18.0
APR-0129-01,RUN-0129-01,REQ-0129,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-02-19 04:01:00,15.0
APR-0130-01,RUN-0130-01,REQ-0130,1,Approved,S. Walker,Approved after review of trade-offs and feasibility warnings.,2026-01-08 01:05:00,22.0
APR-0131-01,RUN-0131-01,REQ-0131,1,Rejected,S. Walker,Rejected because validation found likely infeasibility.,2026-02-25 09:44:00,2.0
APR-0132-01,RUN-0132-01,REQ-0132,1,Approved,A. Shah,Approved after review of trade-offs and feasibility warnings.,2026-01-23 02:44:00,8.0
APR-0133-01,RUN-0133-01,REQ-0133,1,Approved,R. Patel,Approved after review of trade-offs and feasibility warnings.,2026-03-06 15:34:00,21.0
APR-0134-01,RUN-0134-01,REQ-0134,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-04 12:11:00,23.0
APR-0135-01,RUN-0135-01,REQ-0135,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-02 13:18:00,19.0
APR-0136-01,RUN-0136-01,REQ-0136,1,Pending,S. Walker,Pending sourcing manager review.,2026-03-01 16:49:00,22.0
APR-0137-01,RUN-0137-01,REQ-0137,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-01-24 06:24:00,8.0
APR-0138-01,RUN-0138-01,REQ-0138,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-01-09 11:24:00,3.0
APR-0139-01,RUN-0139-01,REQ-0139,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-19 03:56:00,21.0
APR-0140-01,RUN-0140-01,REQ-0140,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-02-28 18:30:00,16.0
APR-0141-01,RUN-0141-01,REQ-0141,1,Approved,M. Chen,Approved after review of trade-offs and feasibility warnings.,2026-01-09 06:29:00,8.0
APR-0142-01,RUN-0142-01,REQ-0142,1,Rejected,M. Chen,Rejected because validation found likely infeasibility.,2026-02-23 23:43:00,9.0
APR-0143-01,RUN-0143-01,REQ-0143,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-02-17 13:07:00,19.0
APR-0144-01,RUN-0144-01,REQ-0144,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-02-06 14:07:00,14.0
APR-0145-01,RUN-0145-01,REQ-0145,1,Approved,S. Walker,Approved after review of trade-offs and feasibility warnings.,2026-02-09 07:34:00,16.0
APR-0146-01,RUN-0146-01,REQ-0146,1,Rejected,R. Patel,Rejected due to policy or portfolio concerns.,2026-03-07 05:32:00,11.0
APR-0147-01,RUN-0147-01,REQ-0147,1,Pending,A. Shah,Pending sourcing manager review.,2026-04-11 14:35:00,10.0
APR-0148-01,RUN-0148-01,REQ-0148,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-04-04 19:46:00,18.0
APR-0149-01,RUN-0149-01,REQ-0149,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-02-28 08:55:00,9.0
APR-0150-01,RUN-0150-01,REQ-0150,1,Rejected,J. Morgan,Rejected due to policy or portfolio concerns.,2026-01-25 03:01:00,19.0
APR-0151-01,RUN-0151-01,REQ-0151,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-01-07 20:57:00,10.0
APR-0152-01,RUN-0152-01,REQ-0152,1,Pending,S. Walker,Pending sourcing manager review.,2026-03-22 01:02:00,7.0
APR-0153-01,RUN-0153-01,REQ-0153,1,Approved,A. Shah,Approved after review of trade-offs and feasibility warnings.,2026-03-29 00:52:00,12.0
APR-0154-01,RUN-0154-01,REQ-0154,1,Approved,S. Walker,Approved after review of trade-offs and feasibility warnings.,2026-02-04 03:10:00,11.0
APR-0155-01,RUN-0155-01,REQ-0155,1,Approved,R. Patel,Approved after review of trade-offs and feasibility warnings.,2026-03-25 12:13:00,2.0
APR-0156-01,RUN-0156-01,REQ-0156,1,Approved,S. Walker,Approved after review of trade-offs and feasibility warnings.,2026-04-05 13:09:00,19.0
APR-0157-01,RUN-0157-01,REQ-0157,1,Pending,R. Patel,Pending sourcing manager review.,2026-02-28 11:06:00,23.0
APR-0158-01,RUN-0158-01,REQ-0158,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-17 08:17:00,10.0
APR-0159-01,RUN-0159-01,REQ-0159,1,Approved,S. Walker,Approved after review of trade-offs and feasibility warnings.,2026-01-16 18:28:00,4.0
APR-0160-01,RUN-0160-01,REQ-0160,1,Approved,A. Shah,Approved after review of trade-offs and feasibility warnings.,2026-04-11 04:21:00,16.0
APR-0161-01,RUN-0161-01,REQ-0161,1,Approved,J. Morgan,Approved after review of trade-offs and feasibility warnings.,2026-03-28 13:03:00,10.0
APR-0162-01,RUN-0162-01,REQ-0162,1,Rejected,S. Walker,Rejected because validation found likely infeasibility.,2026-02-21 19:53:00,12.0
APR-0163-01,RUN-0163-01,REQ-0163,1,Pending,R. Patel,Pending sourcing manager review.,2026-03-06 06:02:00,12.0
APR-0164-01,RUN-0164-01,REQ-0164,1,Approved,S. Walker,Approved after review of trade-offs and feasibility warnings.,2026-03-09 04:33:00,5.0
APR-0165-01,RUN-0165-01,REQ-0165,1,Approved,J. Morgan,Approved after review of trade-offs and feasibility warnings.,2026-03-19 01:24:00,15.0
APR-0166-01,RUN-0166-01,REQ-0166,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-01-23 11:17:00,5.0
APR-0167-01,RUN-0167-01,REQ-0167,1,Approved,M. Chen,Approved after review of trade-offs and feasibility warnings.,2026-02-13 15:44:00,19.0
APR-0168-01,RUN-0168-01,REQ-0168,1,Approved,M. Chen,Approved after review of trade-offs and feasibility warnings.,2026-02-09 22:21:00,11.0
APR-0169-01,RUN-0169-01,REQ-0169,1,Rejected,R. Patel,Rejected due to policy or portfolio concerns.,2026-04-08 06:05:00,22.0
APR-0170-01,RUN-0170-01,REQ-0170,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-10 02:17:00,1.0
APR-0171-01,RUN-0171-01,REQ-0171,1,Approved,M. Chen,Approved after review of trade-offs and feasibility warnings.,2026-02-12 20:23:00,20.0
APR-0172-01,RUN-0172-01,REQ-0172,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-01-07 15:08:00,17.0
APR-0173-01,RUN-0173-01,REQ-0173,1,Rejected,R. Patel,Rejected due to policy or portfolio concerns.,2026-04-10 16:52:00,13.0
APR-0174-01,RUN-0174-01,REQ-0174,1,Rejected,J. Morgan,Rejected due to policy or portfolio concerns.,2026-01-18 00:04:00,24.0
APR-0175-01,RUN-0175-01,REQ-0175,1,Approved,S. Walker,Approved after review of trade-offs and feasibility warnings.,2026-02-02 06:13:00,14.0
APR-0176-01,RUN-0176-01,REQ-0176,1,Rejected,S. Walker,Rejected because validation found likely infeasibility.,2026-02-22 14:37:00,24.0
APR-0177-01,RUN-0177-01,REQ-0177,1,Pending,J. Morgan,Pending sourcing manager review.,2026-04-12 23:01:00,6.0
APR-0178-01,RUN-0178-01,REQ-0178,1,Approved,S. Walker,Approved after review of trade-offs and feasibility warnings.,2026-02-08 10:00:00,17.0
APR-0179-01,RUN-0179-01,REQ-0179,1,Rejected,M. Chen,Rejected due to policy or portfolio concerns.,2026-01-27 13:45:00,18.0
APR-0180-01,RUN-0180-01,REQ-0180,1,Approved,S. Walker,Approved after review of trade-offs and feasibility warnings.,2026-03-09 09:18:00,15.0
APR-0181-01,RUN-0181-01,REQ-0181,1,Rejected,S. Walker,Rejected due to policy or portfolio concerns.,2026-02-07 04:43:00,15.0
APR-0182-01,RUN-0182-01,REQ-0182,1,Approved,J. Morgan,Approved after review of trade-offs and feasibility warnings.,2026-01-29 00:32:00,2.0
APR-0183-01,RUN-0183-01,REQ-0183,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-05 21:56:00,21.0
APR-0184-01,RUN-0184-01,REQ-0184,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-01-17 13:24:00,7.0
APR-0185-01,RUN-0185-01,REQ-0185,1,Approved,J. Morgan,Approved after review of trade-offs and feasibility warnings.,2026-04-05 04:47:00,14.0
APR-0186-01,RUN-0186-01,REQ-0186,1,Approved,M. Chen,Approved after review of trade-offs and feasibility warnings.,2026-01-10 00:54:00,16.0
APR-0187-01,RUN-0187-01,REQ-0187,1,Rejected,S. Walker,Rejected because validation found likely infeasibility.,2026-01-09 18:25:00,19.0
APR-0188-01,RUN-0188-01,REQ-0188,1,Rejected,M. Chen,Rejected due to policy or portfolio concerns.,2026-01-07 16:49:00,15.0
APR-0189-01,RUN-0189-01,REQ-0189,1,Pending,A. Shah,Pending sourcing manager review.,2026-01-26 06:17:00,3.0
APR-0190-01,RUN-0190-01,REQ-0190,1,Rejected,A. Shah,Rejected because validation found likely infeasibility.,2026-04-03 12:13:00,15.0
APR-0191-01,RUN-0191-01,REQ-0191,1,Rejected,M. Chen,Rejected due to policy or portfolio concerns.,2026-01-19 05:03:00,4.0
APR-0192-01,RUN-0192-01,REQ-0192,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-12 03:58:00,5.0
APR-0193-01,RUN-0193-01,REQ-0193,1,Approved,J. Morgan,Approved after review of trade-offs and feasibility warnings.,2026-03-26 07:34:00,6.0
APR-0194-01,RUN-0194-01,REQ-0194,1,Rejected,M. Chen,Rejected because validation found likely infeasibility.,2026-02-05 15:50:00,22.0
APR-0195-01,RUN-0195-01,REQ-0195,1,Approved,A. Shah,Approved after review of trade-offs and feasibility warnings.,2026-03-27 00:31:00,21.0
APR-0196-01,RUN-0196-01,REQ-0196,1,Approved,M. Chen,Approved after review of trade-offs and feasibility warnings.,2026-01-17 03:53:00,6.0
