recommendation_id,workflow_run_id,request_id,recommendation_status,headline,detail,selected_suppliers,estimated_total_cost,generated_at
REC-0027-01,RUN-0027-01,REQ-0027,generated,"Allocate 110,000 units across 5 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,5.0,1357510.96,2026-03-13 13:18:00
REC-0028-01,RUN-0028-01,REQ-0028,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-01-24 04:54:00
REC-0029-01,RUN-0029-01,REQ-0029,generated,"Allocate 150,000 units across 6 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,6.0,2030997.35,2026-01-13 04:22:00
REC-0030-01,RUN-0030-01,REQ-0030,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-02 06:52:00
REC-0031-01,RUN-0031-01,REQ-0031,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-01-25 17:22:00
REC-0032-01,RUN-0032-01,REQ-0032,generated,"Allocate 110,000 units across 3 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,3.0,1510798.21,2026-04-04 00:36:00
REC-0033-01,RUN-0033-01,REQ-0033,generated,"Allocate 55,000 units across 4 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,4.0,626639.88,2026-03-03 20:02:00
REC-0034-01,RUN-0034-01,REQ-0034,generated,"Allocate 70,000 units across 6 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,6.0,974039.23,2026-01-31 12:47:00
REC-0035-01,RUN-0035-01,REQ-0035,generated,"Allocate 55,000 units across 4 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,4.0,723322.32,2026-03-12 09:24:00
REC-0036-01,RUN-0036-01,REQ-0036,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-04-05 15:59:00
REC-0037-01,RUN-0037-01,REQ-0037,generated,"Allocate 40,000 units across 5 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,5.0,511930.56,2026-02-01 17:27:00
REC-0038-01,RUN-0038-01,REQ-0038,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-02-24 03:05:00
REC-0039-01,RUN-0039-01,REQ-0039,generated,"Allocate 150,000 units across 5 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,5.0,1370934.0,2026-02-16 20:46:00
REC-0040-01,RUN-0040-01,REQ-0040,generated,"Allocate 150,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,2101236.62,2026-04-02 01:51:00
REC-0041-01,RUN-0041-01,REQ-0041,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-22 18:16:00
REC-0042-01,RUN-0042-01,REQ-0042,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-01 12:11:00
REC-0043-01,RUN-0043-01,REQ-0043,generated,"Allocate 90,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,1142666.17,2026-02-10 09:54:00
REC-0044-01,RUN-0044-01,REQ-0044,generated,"Allocate 40,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,597168.01,2026-03-21 01:06:00
REC-0045-01,RUN-0045-01,REQ-0045,generated,"Allocate 90,000 units across 5 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,5.0,1167255.39,2026-01-07 13:20:00
REC-0046-01,RUN-0046-01,REQ-0046,generated,"Allocate 40,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,344054.11,2026-03-13 05:24:00
REC-0047-01,RUN-0047-01,REQ-0047,generated,"Allocate 55,000 units across 6 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,6.0,781124.72,2026-01-27 11:29:00
REC-0048-01,RUN-0048-01,REQ-0048,generated,"Allocate 110,000 units across 5 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,5.0,1257219.51,2026-02-15 10:45:00
REC-0049-01,RUN-0049-01,REQ-0049,generated,"Allocate 55,000 units across 5 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,5.0,565652.51,2026-04-08 13:00:00
REC-0050-01,RUN-0050-01,REQ-0050,generated,"Allocate 90,000 units across 4 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,4.0,1198859.68,2026-04-09 02:21:00
REC-0051-01,RUN-0051-01,REQ-0051,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-02 20:54:00
REC-0052-01,RUN-0052-01,REQ-0052,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-01-17 03:04:00
REC-0053-01,RUN-0053-01,REQ-0053,generated,"Allocate 90,000 units across 6 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,6.0,1248911.51,2026-01-30 07:11:00
REC-0054-01,RUN-0054-01,REQ-0054,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-11 01:55:00
REC-0055-01,RUN-0055-01,REQ-0055,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-04-01 04:23:00
REC-0056-01,RUN-0056-01,REQ-0056,generated,"Allocate 40,000 units across 5 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,5.0,376615.02,2026-03-23 08:11:00
REC-0057-01,RUN-0057-01,REQ-0057,generated,"Allocate 110,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,1442569.29,2026-01-14 11:46:00
REC-0058-01,RUN-0058-01,REQ-0058,generated,"Allocate 55,000 units across 6 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,6.0,600236.65,2026-03-05 17:30:00
REC-0059-01,RUN-0059-01,REQ-0059,generated,"Allocate 90,000 units across 4 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,4.0,1043776.3,2026-04-07 02:54:00
REC-0060-01,RUN-0060-01,REQ-0060,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-02-15 12:02:00
REC-0061-01,RUN-0061-01,REQ-0061,generated,"Allocate 150,000 units across 6 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,6.0,1739669.75,2026-03-07 03:26:00
REC-0062-01,RUN-0062-01,REQ-0062,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-02-10 03:35:00
REC-0063-01,RUN-0063-01,REQ-0063,generated,"Allocate 135,000 units across 4 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,4.0,2070447.88,2026-01-27 02:03:00
REC-0064-01,RUN-0064-01,REQ-0064,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-02-22 10:16:00
REC-0065-01,RUN-0065-01,REQ-0065,generated,"Allocate 170,000 units across 4 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,4.0,2415192.97,2026-02-15 07:15:00
REC-0066-01,RUN-0066-01,REQ-0066,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-09 01:20:00
REC-0067-01,RUN-0067-01,REQ-0067,generated,"Allocate 120,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,1529233.35,2026-04-04 22:59:00
REC-0068-01,RUN-0068-01,REQ-0068,generated,"Allocate 90,000 units across 5 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,5.0,1154950.88,2026-02-02 23:21:00
REC-0069-01,RUN-0069-01,REQ-0069,generated,"Allocate 110,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,1239204.95,2026-04-04 05:58:00
REC-0070-01,RUN-0070-01,REQ-0070,generated,"Allocate 135,000 units across 5 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,5.0,1202081.16,2026-04-07 17:42:00
REC-0071-01,RUN-0071-01,REQ-0071,generated,"Allocate 170,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,2053689.75,2026-02-23 22:27:00
REC-0072-01,RUN-0072-01,REQ-0072,generated,"Allocate 90,000 units across 6 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,6.0,941663.84,2026-03-21 12:11:00
REC-0073-01,RUN-0073-01,REQ-0073,generated,"Allocate 55,000 units across 4 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,4.0,569608.82,2026-01-23 14:08:00
REC-0074-01,RUN-0074-01,REQ-0074,generated,"Allocate 70,000 units across 5 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,5.0,974518.95,2026-01-11 11:15:00
REC-0075-01,RUN-0075-01,REQ-0075,generated,"Allocate 110,000 units across 5 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,5.0,1128374.19,2026-03-01 15:03:00
REC-0076-01,RUN-0076-01,REQ-0076,generated,"Allocate 55,000 units across 5 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,5.0,535569.58,2026-03-09 09:34:00
REC-0077-01,RUN-0077-01,REQ-0077,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-02-25 07:41:00
REC-0078-01,RUN-0078-01,REQ-0078,generated,"Allocate 40,000 units across 4 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,4.0,569669.37,2026-02-28 08:01:00
REC-0079-01,RUN-0079-01,REQ-0079,generated,"Allocate 70,000 units across 5 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,5.0,785549.19,2026-03-12 21:25:00
REC-0080-01,RUN-0080-01,REQ-0080,generated,"Allocate 40,000 units across 6 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,6.0,357779.36,2026-04-09 02:23:00
REC-0081-01,RUN-0081-01,REQ-0081,generated,"Allocate 40,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,398681.55,2026-02-28 23:36:00
REC-0082-01,RUN-0082-01,REQ-0082,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-01 06:09:00
REC-0083-01,RUN-0083-01,REQ-0083,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-12 08:16:00
REC-0084-01,RUN-0084-01,REQ-0084,generated,"Allocate 170,000 units across 6 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,6.0,2185058.35,2026-01-06 19:04:00
REC-0085-01,RUN-0085-01,REQ-0085,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-04 12:11:00
REC-0086-01,RUN-0086-01,REQ-0086,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-19 04:15:00
REC-0087-01,RUN-0087-01,REQ-0087,generated,"Allocate 120,000 units across 6 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,6.0,1020581.09,2026-02-13 04:28:00
REC-0088-01,RUN-0088-01,REQ-0088,generated,"Allocate 110,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,1098191.92,2026-03-24 04:10:00
REC-0089-01,RUN-0089-01,REQ-0089,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-01-13 07:07:00
REC-0090-01,RUN-0090-01,REQ-0090,generated,"Allocate 70,000 units across 5 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,5.0,811235.09,2026-03-25 00:11:00
REC-0091-01,RUN-0091-01,REQ-0091,generated,"Allocate 110,000 units across 6 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,6.0,1500684.58,2026-03-15 09:03:00
REC-0092-01,RUN-0092-01,REQ-0092,generated,"Allocate 55,000 units across 3 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,3.0,720473.27,2026-03-04 09:10:00
REC-0093-01,RUN-0093-01,REQ-0093,generated,"Allocate 40,000 units across 6 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,6.0,362697.86,2026-01-26 14:18:00
REC-0094-01,RUN-0094-01,REQ-0094,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-02-17 17:29:00
REC-0095-01,RUN-0095-01,REQ-0095,generated,"Allocate 55,000 units across 3 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,3.0,780308.53,2026-03-26 02:14:00
REC-0096-01,RUN-0096-01,REQ-0096,generated,"Allocate 70,000 units across 4 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,4.0,951242.03,2026-03-06 13:44:00
REC-0097-01,RUN-0097-01,REQ-0097,generated,"Allocate 90,000 units across 6 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,6.0,1205214.09,2026-01-27 16:35:00
REC-0098-01,RUN-0098-01,REQ-0098,generated,"Allocate 70,000 units across 6 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,6.0,942978.72,2026-01-30 03:43:00
REC-0099-01,RUN-0099-01,REQ-0099,generated,"Allocate 110,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,1426624.69,2026-03-16 20:57:00
REC-0100-01,RUN-0100-01,REQ-0100,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-01-15 05:43:00
REC-0101-01,RUN-0101-01,REQ-0101,generated,"Allocate 110,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,967651.97,2026-03-27 22:43:00
REC-0102-01,RUN-0102-01,REQ-0102,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-04-09 16:14:00
REC-0103-01,RUN-0103-01,REQ-0103,generated,"Allocate 40,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,427879.67,2026-01-12 08:19:00
REC-0104-01,RUN-0104-01,REQ-0104,generated,"Allocate 55,000 units across 4 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,4.0,550220.06,2026-03-24 19:11:00
REC-0105-01,RUN-0105-01,REQ-0105,generated,"Allocate 110,000 units across 4 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,4.0,1585721.17,2026-02-28 18:02:00
REC-0106-01,RUN-0106-01,REQ-0106,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-01-30 07:14:00
REC-0107-01,RUN-0107-01,REQ-0107,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-23 01:16:00
REC-0108-01,RUN-0108-01,REQ-0108,generated,"Allocate 40,000 units across 6 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,6.0,340355.45,2026-03-06 11:26:00
REC-0109-01,RUN-0109-01,REQ-0109,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-24 15:38:00
REC-0110-01,RUN-0110-01,REQ-0110,generated,"Allocate 135,000 units across 5 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,5.0,1445792.49,2026-01-24 07:32:00
REC-0111-01,RUN-0111-01,REQ-0111,generated,"Allocate 70,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,677001.63,2026-02-24 18:42:00
REC-0112-01,RUN-0112-01,REQ-0112,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-01-22 09:57:00
REC-0113-01,RUN-0113-01,REQ-0113,generated,"Allocate 55,000 units across 6 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,6.0,541813.81,2026-03-23 18:37:00
REC-0114-01,RUN-0114-01,REQ-0114,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-02-01 05:38:00
REC-0115-01,RUN-0115-01,REQ-0115,generated,"Allocate 90,000 units across 3 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,3.0,831734.65,2026-02-01 23:51:00
REC-0116-01,RUN-0116-01,REQ-0116,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-25 07:31:00
REC-0117-01,RUN-0117-01,REQ-0117,generated,"Allocate 70,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,685336.13,2026-04-09 09:38:00
REC-0118-01,RUN-0118-01,REQ-0118,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-01-07 23:13:00
REC-0119-01,RUN-0119-01,REQ-0119,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-01-19 00:24:00
REC-0120-01,RUN-0120-01,REQ-0120,generated,"Allocate 90,000 units across 5 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,5.0,1304374.89,2026-04-07 12:36:00
REC-0121-01,RUN-0121-01,REQ-0121,generated,"Allocate 55,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,818319.95,2026-01-20 10:45:00
REC-0122-01,RUN-0122-01,REQ-0122,generated,"Allocate 40,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,447734.74,2026-03-26 07:54:00
REC-0123-01,RUN-0123-01,REQ-0123,generated,"Allocate 135,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,1712361.86,2026-01-09 03:50:00
REC-0124-01,RUN-0124-01,REQ-0124,generated,"Allocate 40,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,393113.97,2026-03-08 06:11:00
REC-0125-01,RUN-0125-01,REQ-0125,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-02-05 13:36:00
REC-0126-01,RUN-0126-01,REQ-0126,generated,"Allocate 55,000 units across 5 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,5.0,481430.09,2026-03-12 17:44:00
REC-0127-01,RUN-0127-01,REQ-0127,generated,"Allocate 120,000 units across 5 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,5.0,1121483.88,2026-03-22 16:09:00
REC-0128-01,RUN-0128-01,REQ-0128,generated,"Allocate 150,000 units across 4 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,4.0,2149979.9,2026-01-18 23:38:00
REC-0129-01,RUN-0129-01,REQ-0129,generated,"Allocate 90,000 units across 6 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,6.0,1100320.52,2026-02-19 00:21:00
REC-0130-01,RUN-0130-01,REQ-0130,generated,"Allocate 170,000 units across 6 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,6.0,2390994.51,2026-01-07 14:25:00
REC-0131-01,RUN-0131-01,REQ-0131,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-02-26 13:04:00
REC-0132-01,RUN-0132-01,REQ-0132,generated,"Allocate 170,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,2019802.33,2026-01-23 11:04:00
REC-0133-01,RUN-0133-01,REQ-0133,generated,"Allocate 55,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,714674.0,2026-03-06 09:54:00
REC-0134-01,RUN-0134-01,REQ-0134,generated,"Allocate 70,000 units across 4 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,4.0,887748.37,2026-03-03 23:31:00
REC-0135-01,RUN-0135-01,REQ-0135,generated,"Allocate 70,000 units across 4 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,4.0,963094.65,2026-03-02 16:38:00
REC-0136-01,RUN-0136-01,REQ-0136,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-01 14:09:00
REC-0137-01,RUN-0137-01,REQ-0137,generated,"Allocate 40,000 units across 5 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,5.0,344836.32,2026-01-24 10:44:00
REC-0138-01,RUN-0138-01,REQ-0138,generated,"Allocate 90,000 units across 3 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,3.0,1143102.42,2026-01-09 14:44:00
REC-0139-01,RUN-0139-01,REQ-0139,generated,"Allocate 90,000 units across 4 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,4.0,1371588.53,2026-03-19 18:16:00
REC-0140-01,RUN-0140-01,REQ-0140,generated,"Allocate 110,000 units across 4 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,4.0,1560840.92,2026-03-01 12:50:00
REC-0141-01,RUN-0141-01,REQ-0141,generated,"Allocate 70,000 units across 4 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,4.0,731929.78,2026-01-09 13:49:00
REC-0142-01,RUN-0142-01,REQ-0142,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-02-24 09:03:00
REC-0143-01,RUN-0143-01,REQ-0143,generated,"Allocate 55,000 units across 4 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,4.0,837762.39,2026-02-17 03:27:00
REC-0144-01,RUN-0144-01,REQ-0144,generated,"Allocate 70,000 units across 5 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,5.0,615260.8,2026-02-07 04:27:00
REC-0145-01,RUN-0145-01,REQ-0145,generated,"Allocate 55,000 units across 4 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,4.0,651530.19,2026-02-09 03:54:00
REC-0146-01,RUN-0146-01,REQ-0146,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-07 00:52:00
REC-0147-01,RUN-0147-01,REQ-0147,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-04-11 15:55:00
REC-0148-01,RUN-0148-01,REQ-0148,generated,"Allocate 110,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,1655438.01,2026-04-05 10:06:00
REC-0149-01,RUN-0149-01,REQ-0149,generated,"Allocate 40,000 units across 6 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,6.0,441700.33,2026-02-28 11:15:00
REC-0150-01,RUN-0150-01,REQ-0150,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-01-24 17:21:00
REC-0151-01,RUN-0151-01,REQ-0151,generated,"Allocate 40,000 units across 5 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,5.0,447899.92,2026-01-07 13:17:00
REC-0152-01,RUN-0152-01,REQ-0152,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-22 00:22:00
REC-0153-01,RUN-0153-01,REQ-0153,generated,"Allocate 120,000 units across 6 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,6.0,1234104.76,2026-03-29 19:12:00
